Year_of_Study,Previous_GPA,Attendance_Percentage,CAT_1_Score,CAT_2_Score,Assignment_Score,Total_Internal_Marks,At_Risk
1,2.13,90,5,10,1,16,1
1,1.52,79,8,11,9,28,0
1,3.31,71,15,14,8,37,0
4,2.84,70,13,11,4,28,0
2,3.59,61,4,10,7,21,0
1,3.55,60,11,7,3,21,0
1,3.61,51,9,12,3,24,0
4,2.71,99,7,10,4,21,0
4,2.33,90,7,15,2,24,0
3,3.48,51,15,4,10,29,0
1,2.63,83,2,5,4,11,1
3,1.96,52,6,14,10,30,0
4,3.64,65,4,7,3,14,1
4,3.71,53,11,5,8,24,0
2,2.67,72,2,2,2,6,1
1,1.69,99,9,8,9,26,0
3,2.47,69,8,6,3,17,0
4,3.51,74,8,15,4,27,0
4,3.75,79,13,9,10,32,0
3,2.01,67,11,10,10,31,0
2,1.67,91,15,6,3,24,0
4,3.69,60,11,9,3,23,0
1,2.47,78,11,14,8,33,0
4,2.85,66,5,2,8,15,1
1,3.92,75,14,2,6,22,0
3,1.67,72,12,8,4,24,0
1,3.12,97,7,7,1,15,0
3,1.69,69,14,6,4,24,0
1,2.44,94,10,15,8,33,0
3,3.51,51,15,6,6,27,0
1,2.58,73,4,15,2,21,0
2,3.99,80,10,10,3,23,0
1,2.9,76,5,2,7,14,1
1,2.3,51,6,9,4,19,1
2,2.05,63,8,3,4,15,1
4,2.38,53,7,8,5,20,0
4,2.43,98,11,7,8,26,0
1,1.67,62,9,11,7,27,0
2,2.42,85,9,3,9,21,0
1,2.66,84,9,13,5,27,0
3,3.31,93,4,14,1,19,1
3,3.14,57,15,4,4,23,0
1,3.27,51,11,5,6,22,0
4,1.52,55,7,8,6,21,0
4,2.04,80,8,9,9,26,0
1,3.15,59,10,14,10,34,0
1,2.71,93,11,12,5,28,0
3,1.51,70,11,3,5,19,0
4,3.51,91,15,9,6,30,0
1,3.43,59,13,12,6,31,0
3,2.87,72,5,10,3,18,0
4,1.67,52,6,8,6,20,0
2,3.42,81,9,2,8,19,0
3,2.96,69,2,7,6,15,1
4,3.45,59,13,9,5,27,0
4,3.38,78,7,6,3,16,1
3,3.51,90,5,13,1,19,0
2,2.8,95,6,3,5,14,1
3,1.85,83,12,6,6,24,0
4,3.18,86,6,9,6,21,0
1,3.05,69,3,3,6,12,1
1,3.36,57,9,2,3,14,1
3,1.92,56,3,5,4,12,1
4,1.99,55,5,5,3,13,1
1,3.73,60,13,10,2,25,0
4,3.37,93,14,4,8,26,0
3,3.77,67,6,5,7,18,1
1,3.4,91,15,4,8,27,0
4,2.99,78,2,3,6,11,1
1,3.14,74,7,5,7,19,0
3,3.72,70,3,15,1,19,0
4,2.95,95,15,9,10,34,0
1,3.08,52,6,2,5,13,1
3,1.89,67,7,9,4,20,0
1,2.68,73,12,9,10,31,0
1,3.29,96,9,4,3,16,0
2,2.18,87,10,15,2,27,0
2,2.01,59,14,11,9,34,0
3,2.28,76,13,11,8,32,0
2,2.1,61,7,13,10,30,0
3,2.04,56,6,13,2,21,0
2,2.56,66,13,7,6,26,0
1,3.77,50,5,14,3,22,0
3,2.77,99,3,14,3,20,0
3,1.97,75,3,5,5,13,1
1,1.69,64,8,14,7,29,0
3,3.24,82,6,2,7,15,0
3,2.46,86,8,15,10,33,0
2,3.55,96,14,2,1,17,0
3,3.15,80,12,6,7,25,0
4,3.49,84,2,13,7,22,0
1,2.18,50,2,9,6,17,1
2,3.23,57,6,2,6,14,1
2,2.16,61,3,3,2,8,1
4,3.85,68,9,8,3,20,0
1,3.09,74,15,9,3,27,0
1,2.31,81,4,13,3,20,0
2,2.17,61,2,15,2,19,0
3,1.98,62,14,4,9,27,0
2,3.24,77,3,12,6,21,1
1,2.05,50,11,13,2,26,0
4,2.99,55,11,14,3,28,0
2,2.16,57,8,9,10,27,0
1,3.15,53,7,2,6,15,1
2,3.54,54,13,10,4,27,0
3,3.45,74,9,13,7,29,0
2,3.4,71,8,3,6,17,1
2,1.97,77,15,15,6,36,0
1,1.72,88,11,14,3,28,0
1,3.25,72,14,3,8,25,0
1,2.42,53,9,5,9,23,0
2,2.58,53,4,13,6,23,0
3,1.58,96,7,11,2,20,0
4,2.15,70,14,4,1,19,0
4,1.58,86,8,5,3,16,1
1,3.7,90,11,7,3,21,0
1,2.11,51,12,8,8,28,0
2,2.89,56,2,6,5,13,1
4,1.6,98,2,3,1,6,1
1,3.17,65,8,4,4,16,1
3,2.31,66,14,11,7,32,0
3,3.74,69,12,12,5,29,0
1,3.72,72,14,4,10,28,0
1,2.31,83,4,15,6,25,0
4,3.75,60,4,6,10,20,0
4,3.99,83,6,13,4,23,0
2,3.56,82,12,12,2,26,0
4,3.61,75,7,13,9,29,0
3,2.12,51,3,6,2,11,1
3,2.94,72,4,5,2,11,1
1,1.67,90,7,9,2,18,0
4,1.74,71,4,7,1,12,1
2,4.0,83,15,7,3,25,0
3,2.32,64,6,2,6,14,1
3,3.37,59,10,7,7,24,0
2,3.52,64,13,4,1,18,1
2,3.65,91,4,14,5,23,1
3,3.99,78,13,7,5,25,0
3,2.1,72,12,11,1,24,0
2,1.6,66,14,14,4,32,0
3,2.53,58,14,12,10,36,0
1,1.83,99,7,14,1,22,0
1,1.56,85,12,7,1,20,0
2,2.4,58,6,3,7,16,0
4,3.46,65,6,2,7,15,0
2,2.92,85,12,12,3,27,0
2,2.28,97,15,4,7,26,0
4,3.14,82,15,6,3,24,0
4,2.08,80,7,5,2,14,1
4,1.54,55,7,8,10,25,0
1,3.41,59,2,5,4,11,1
3,3.06,65,12,9,10,31,0
1,3.41,53,10,8,3,21,1
3,1.6,71,6,11,7,24,0
1,3.59,62,2,10,1,13,1
3,3.05,65,9,2,6,17,0
1,2.91,78,8,6,2,16,1
4,3.06,55,8,14,8,30,0
2,3.66,75,15,5,5,25,0
1,2.97,60,6,7,3,16,1
3,2.95,73,2,2,10,14,1
4,3.98,78,10,7,7,24,0
1,3.39,52,12,2,2,16,0
1,2.61,59,10,15,5,30,0
4,3.27,50,9,15,8,32,0
1,2.47,92,6,2,1,9,1
2,2.07,75,15,9,1,25,0
1,2.99,61,4,3,3,10,1
2,3.82,63,9,11,3,23,0
2,3.82,74,2,14,7,23,0
4,2.35,57,4,15,6,25,0
1,2.82,92,13,7,7,27,0
4,2.03,53,12,15,4,31,0
1,3.99,77,8,7,2,17,0
1,3.95,56,15,7,2,24,0
3,3.12,59,5,9,10,24,0
1,3.51,85,8,5,1,14,1
4,3.29,51,13,4,9,26,0
2,2.98,75,12,7,7,26,0
1,1.63,99,14,5,10,29,0
3,2.64,63,15,3,3,21,0
4,3.19,65,6,7,2,15,1
1,3.19,92,7,11,3,21,0
4,2.43,91,15,6,7,28,0
3,3.85,66,8,12,5,25,0
3,1.92,95,14,10,3,27,0
4,2.75,71,11,12,9,32,0
1,3.23,53,13,7,2,22,0
2,3.24,68,8,15,7,30,0
3,3.12,51,8,4,10,22,0
1,2.19,88,8,12,6,26,0
1,1.89,58,12,6,6,24,0
2,3.09,68,14,11,7,32,0
3,3.0,65,14,9,6,29,0
3,1.95,74,8,10,2,20,0
1,3.26,97,4,9,5,18,0
1,2.64,67,13,4,3,20,0
2,3.17,72,4,10,9,23,0
2,3.59,70,8,4,8,20,1
3,1.92,60,15,9,10,34,0
4,1.55,88,3,11,2,16,1
3,3.45,90,15,10,1,26,0
1,3.02,53,3,8,4,15,1
3,3.25,74,4,5,4,13,1
4,3.6,81,15,11,10,36,0
2,3.51,79,5,10,2,17,1
4,3.9,94,7,4,7,18,1
4,2.84,75,14,4,3,21,0
4,2.72,85,9,3,7,19,0
2,2.5,83,11,11,7,29,0
4,1.88,58,11,4,1,16,1
4,2.93,61,8,2,6,16,1
4,2.19,51,5,5,4,14,1
1,3.8,87,3,9,8,20,1
4,2.96,54,3,6,8,17,0
2,2.98,54,5,3,3,11,1
4,2.39,71,7,4,4,15,1
4,1.63,54,4,2,1,7,1
2,1.58,53,7,3,10,20,0
4,2.56,58,6,2,2,10,1
2,1.71,78,6,3,7,16,1
4,3.02,71,3,4,7,14,1
2,3.7,76,9,2,9,20,1
4,3.71,59,6,12,10,28,0
4,3.15,65,12,10,9,31,0
1,2.03,91,3,11,9,23,0
1,3.66,91,8,6,6,20,0
4,3.72,59,14,9,8,31,0
4,1.99,55,10,6,9,25,0
3,3.34,98,10,9,7,26,0
2,2.22,54,2,8,4,14,1
3,3.51,55,8,13,4,25,0
1,3.99,96,10,5,6,21,0
1,1.58,74,7,8,4,19,0
1,3.74,99,2,7,7,16,1
1,3.06,53,3,4,8,15,1
4,3.93,89,5,10,8,23,0
1,2.66,97,15,13,8,36,0
4,3.62,81,5,11,2,18,0
4,1.66,84,3,14,10,27,0
1,2.34,59,9,10,2,21,0
1,1.67,83,3,15,2,20,0
2,3.94,85,4,6,2,12,1
3,3.54,55,15,9,4,28,0
1,3.63,92,5,8,5,18,0
2,3.84,95,10,10,4,24,0
2,1.71,65,11,8,5,24,0
3,2.46,68,2,5,4,11,1
4,1.68,83,9,5,7,21,0
1,2.03,74,13,12,10,35,0
3,2.07,80,15,9,1,25,0
1,2.67,98,6,7,1,14,1
2,2.17,90,8,10,2,20,0
2,1.75,66,9,15,1,25,0
4,1.92,96,6,11,10,27,0
2,1.87,79,9,15,10,34,0
2,3.93,88,11,8,3,22,0
3,3.4,80,12,8,6,26,0
1,3.92,68,9,5,10,24,0
1,2.6,84,10,4,6,20,1
3,2.2,78,3,9,1,13,1
4,3.5,50,4,8,6,18,0
1,2.32,53,2,5,5,12,1
2,2.25,77,5,14,7,26,0
1,2.08,67,6,5,6,17,0
2,1.82,75,12,2,7,21,0
4,2.14,89,2,12,2,16,0
3,2.39,68,9,8,1,18,0
1,3.18,55,3,2,7,12,1
3,1.66,50,2,11,9,22,0
1,2.03,57,3,11,2,16,1
2,3.52,82,14,5,7,26,0
3,1.87,92,6,12,3,21,0
1,2.36,70,10,15,6,31,0
2,3.66,73,10,4,3,17,0
3,1.89,74,3,12,10,25,0
3,1.71,96,3,4,5,12,1
1,2.71,92,4,13,2,19,0
1,2.26,68,8,2,8,18,1
1,2.91,78,12,5,8,25,0
2,3.51,59,4,15,7,26,0
1,1.84,61,2,2,6,10,1
3,2.95,82,15,15,1,31,0
3,2.76,56,15,14,8,37,0
1,1.86,66,15,14,1,30,0
1,3.06,59,7,9,8,24,0
4,2.18,80,4,2,2,8,1
3,2.72,55,2,13,8,23,0
2,1.71,66,15,15,10,40,0
4,2.65,99,14,7,4,25,0
1,2.27,86,5,8,7,20,0
1,3.56,67,14,11,5,30,0
3,1.64,75,2,15,8,25,0
1,2.55,98,2,13,6,21,0
2,2.65,65,13,3,5,21,0
3,3.31,57,3,5,1,9,1
1,2.94,73,11,12,3,26,0
3,3.17,62,9,15,10,34,0
1,3.44,78,3,4,9,16,1
1,3.66,81,12,14,9,35,0
1,2.28,73,3,14,5,22,0
2,2.85,65,12,10,3,25,0
2,3.6,60,12,15,6,33,0
3,3.97,81,11,8,5,24,0
1,3.72,55,11,3,1,15,1
1,2.43,84,9,12,2,23,0
2,1.99,82,13,13,5,31,0
1,2.72,67,7,7,9,23,0
2,3.35,86,13,10,4,27,0
1,2.73,62,12,13,9,34,0
3,2.71,59,5,4,3,12,1
1,3.6,86,4,15,1,20,0
1,2.4,75,2,12,6,20,0
4,3.65,95,12,7,10,29,0
2,2.52,66,4,15,7,26,0
1,2.32,50,13,4,4,21,0
1,2.63,74,15,4,10,29,0
4,3.41,83,10,5,5,20,0
4,1.82,88,6,10,4,20,0
2,1.99,59,14,12,3,29,0
4,3.88,69,7,14,1,22,0
3,1.94,56,6,9,6,21,0
4,2.92,65,2,2,10,14,1
3,2.95,86,11,14,5,30,0
2,2.72,78,2,13,1,16,1
2,3.11,61,5,12,5,22,0
2,2.07,66,4,2,6,12,1
2,2.88,97,12,8,10,30,0
2,2.43,69,9,4,5,18,0
3,3.15,75,13,15,1,29,0
3,1.85,97,13,12,5,30,0
2,2.93,68,8,8,10,26,0
4,1.96,96,12,10,1,23,0
1,2.2,61,8,4,3,15,1
2,2.05,70,9,4,2,15,1
4,1.96,91,15,3,1,19,0
1,3.56,83,11,11,4,26,0
2,2.21,56,8,2,2,12,1
2,3.82,94,11,10,5,26,0
3,3.92,84,3,7,10,20,1
1,2.93,64,5,7,1,13,1
1,1.86,50,12,9,10,31,0
4,2.44,75,7,12,1,20,1
3,3.49,84,4,6,10,20,1
3,2.42,74,4,10,4,18,0
3,1.72,91,7,12,7,26,0
3,2.89,64,2,6,2,10,1
1,3.61,71,15,3,2,20,1
1,3.49,55,2,7,1,10,1
2,1.94,64,6,10,5,21,0
2,3.18,73,2,4,6,12,1
3,2.05,70,11,11,6,28,0
3,2.05,56,9,5,2,16,0
3,3.69,78,3,11,7,21,0
2,2.12,81,7,12,6,25,0
4,2.16,81,11,9,8,28,0
4,1.5,54,11,7,6,24,0
2,3.68,53,6,14,9,29,0
2,3.48,71,11,8,10,29,0
2,3.07,67,13,8,2,23,0
2,3.38,84,13,5,7,25,0
2,1.88,66,5,13,5,23,0
2,2.65,99,2,7,1,10,1
3,2.38,99,15,13,3,31,0
3,1.73,73,15,10,4,29,0
3,2.72,51,4,4,2,10,1
3,3.8,62,14,9,7,30,0
2,1.6,64,13,8,1,22,0
4,2.23,54,5,5,3,13,1
1,2.02,52,3,11,9,23,0
2,2.1,86,13,14,2,29,0
1,3.77,86,3,4,5,12,1
4,2.67,86,3,15,4,22,0
3,2.67,52,12,8,3,23,0
4,3.4,84,2,11,5,18,1
2,1.89,72,11,10,6,27,0
3,2.72,77,3,13,1,17,1
2,2.57,79,7,11,2,20,0
3,2.99,67,4,4,1,9,1
1,4.0,85,11,11,3,25,0
1,3.42,82,6,10,8,24,0
1,2.49,75,2,14,8,24,0
4,3.57,97,9,9,4,22,0
2,1.93,89,14,13,6,33,0
4,1.58,66,5,4,9,18,0
1,2.01,89,10,9,7,26,0
2,2.35,56,5,13,2,20,0
1,2.78,57,15,5,2,22,0
4,3.04,80,3,7,3,13,1
4,3.78,61,4,13,8,25,0
4,2.77,97,6,11,10,27,0
1,2.75,80,13,3,9,25,0
2,1.63,93,11,9,3,23,0
2,1.59,68,14,14,9,37,0
1,2.88,59,14,10,10,34,0
2,2.6,88,15,8,8,31,0
1,3.6,61,7,9,5,21,0
2,1.9,69,8,8,10,26,0
3,1.56,86,5,12,3,20,0
3,2.62,97,8,11,7,26,0
4,2.09,90,11,5,9,25,0
3,1.62,56,4,2,6,12,1
3,3.31,63,8,4,3,15,1
3,1.78,60,5,8,5,18,0
1,3.02,56,14,12,7,33,0
3,2.2,78,14,12,8,34,0
3,1.93,59,9,8,4,21,0
4,2.45,78,10,12,2,24,0
3,3.5,58,8,14,10,32,0
3,2.48,85,9,4,2,15,1
2,3.38,97,9,2,3,14,1
4,1.81,59,3,11,8,22,0
4,3.43,68,10,10,1,21,0
4,2.09,80,7,13,7,27,0
4,3.19,66,12,7,6,25,0
4,2.91,58,5,14,2,21,0
4,3.82,94,6,14,9,29,0
1,2.47,82,11,13,5,29,0
3,1.67,83,6,8,2,16,0
4,1.55,94,8,2,3,13,1
3,3.57,73,15,2,7,24,0
3,2.81,58,10,5,7,22,0
1,3.44,56,8,8,10,26,0
4,2.09,65,10,15,1,26,0
2,2.36,68,5,12,10,27,0
1,1.58,88,11,12,4,27,0
2,3.9,55,15,9,6,30,0
3,3.17,99,11,11,8,30,0
3,3.83,60,5,10,3,18,0
1,2.16,61,7,2,3,12,1
1,3.03,91,9,5,8,22,1
2,3.2,62,15,5,8,28,0
4,2.29,61,10,4,8,22,0
2,3.62,70,2,8,1,11,1
1,3.87,59,2,2,8,12,1
2,3.71,69,14,10,8,32,0
1,3.35,99,9,14,2,25,0
2,2.19,85,12,9,9,30,0
1,2.2,77,8,3,7,18,0
1,3.91,73,10,3,8,21,0
1,1.53,54,12,9,2,23,0
4,3.29,86,4,12,4,20,0
2,3.27,61,11,15,7,33,0
2,3.06,84,13,2,6,21,0
2,3.98,89,6,14,7,27,0
1,2.28,51,4,8,1,13,1
2,2.35,99,6,10,8,24,0
2,1.7,90,11,13,7,31,0
1,2.61,94,2,4,4,10,1
3,2.15,88,15,8,1,24,0
1,2.36,91,12,7,8,27,0
2,3.59,58,5,8,10,23,0
1,3.84,71,7,8,7,22,0
3,1.96,96,3,11,8,22,0
1,2.43,54,14,2,10,26,0
2,3.82,61,8,15,1,24,0
3,1.65,50,9,4,5,18,0
4,1.73,93,2,11,9,22,0
2,1.91,71,14,2,5,21,0
3,2.99,87,5,6,10,21,0
3,1.88,68,12,4,3,19,0
4,3.92,65,5,2,9,16,1
1,2.62,80,14,3,9,26,0
1,2.75,52,6,11,4,21,0
2,2.12,72,15,6,4,25,0
4,2.68,91,13,12,8,33,0
1,3.15,67,13,4,7,24,0
4,3.38,75,5,7,5,17,1
1,3.38,62,10,10,6,26,0
3,2.94,67,8,7,3,18,1
1,3.76,52,14,3,6,23,0
4,3.54,72,3,3,8,14,1
3,3.39,52,2,14,10,26,0
3,1.64,74,10,14,9,33,0
3,1.52,76,2,9,3,14,1
4,2.03,93,7,12,8,27,0
2,3.16,76,3,9,3,15,1
2,2.53,88,5,7,2,14,1
2,2.51,74,7,11,5,23,0
4,3.71,73,6,8,4,18,0
3,3.74,57,12,2,5,19,0
2,3.77,58,7,13,6,26,0
4,2.28,95,4,10,3,17,0
2,3.23,86,6,6,1,13,1
1,2.18,79,3,10,4,17,1
2,1.98,68,8,3,6,17,0
2,1.96,65,4,15,2,21,0
3,2.36,73,2,9,2,13,1
4,2.57,93,15,8,1,24,0
3,3.58,70,9,12,9,30,0
3,1.8,85,9,15,3,27,0
3,3.34,89,4,5,2,11,1
3,2.83,88,14,4,4,22,0
3,2.22,96,8,5,6,19,0
2,2.73,55,10,5,1,16,1
3,2.25,54,9,11,9,29,0
3,2.99,63,4,11,9,24,0
4,2.58,94,14,9,8,31,0
1,1.91,91,3,14,6,23,0
2,1.79,99,14,14,4,32,0
2,2.87,53,11,5,2,18,1
2,3.76,57,8,15,8,31,0
3,2.36,73,8,6,7,21,0
3,3.33,60,10,3,4,17,0
3,3.15,66,6,14,3,23,0
4,3.83,99,5,5,6,16,1
1,3.55,70,9,8,1,18,0
3,2.92,75,15,4,2,21,0
1,3.14,92,5,15,7,27,0
4,3.75,97,5,15,3,23,0
2,2.5,93,13,2,1,16,1
3,2.32,94,15,14,2,31,0
1,1.53,76,13,9,10,32,0
1,3.57,65,3,9,10,22,0
3,3.5,75,14,7,9,30,0
2,1.76,82,2,8,7,17,0
2,2.94,80,5,11,7,23,0
2,2.66,97,8,12,10,30,0
4,1.8,96,13,3,8,24,0
1,3.95,55,10,6,8,24,0
1,2.04,93,10,13,9,32,0
1,1.67,57,13,8,2,23,0
4,2.99,56,11,10,8,29,0
1,3.35,83,2,2,8,12,1
4,1.58,93,6,4,5,15,1
2,3.15,63,8,7,5,20,1
3,2.83,65,14,15,4,33,0
1,1.76,92,8,8,5,21,0
1,1.93,58,11,7,2,20,0
2,2.92,59,7,2,2,11,1
3,2.24,66,12,5,5,22,0
4,3.85,61,11,7,3,21,0
3,3.55,55,5,9,1,15,1
2,3.96,68,4,11,9,24,0
2,2.15,92,13,15,2,30,0
3,3.92,90,14,5,10,29,0
4,2.58,78,10,8,2,20,0
4,2.37,55,13,12,4,29,0
1,1.63,74,14,4,2,20,0
4,1.63,73,11,9,7,27,0
3,3.23,74,5,2,10,17,1
2,2.64,65,9,5,1,15,1
1,2.07,65,14,9,2,25,0
1,3.03,55,2,11,5,18,1
2,2.13,86,8,5,2,15,1
4,2.94,70,13,3,9,25,0
2,2.4,53,7,3,4,14,1
4,3.56,83,14,5,9,28,0
2,3.55,77,13,14,1,28,0
3,2.69,87,2,5,1,8,1
4,2.38,90,5,3,1,9,1
3,2.41,77,13,8,4,25,0
1,3.51,66,15,7,9,31,0
2,2.32,63,6,12,8,26,0
1,2.02,56,12,4,7,23,0
1,1.71,71,9,9,1,19,0
1,2.67,50,5,9,3,17,1
1,2.71,78,4,2,9,15,1
2,3.6,80,3,4,9,16,1
1,2.05,79,5,6,5,16,1
2,2.45,64,12,3,6,21,0
2,3.52,67,11,13,6,30,0
3,3.56,84,15,13,10,38,0
4,2.46,99,14,6,4,24,0
4,2.65,79,5,12,1,18,1
2,2.26,83,14,11,5,30,0
3,3.83,91,11,4,1,16,0
2,1.8,60,6,10,1,17,0
2,3.83,76,14,12,5,31,0
2,3.21,73,8,2,5,15,0
3,2.83,84,10,5,7,22,0
4,1.58,88,3,11,2,16,0
3,2.69,57,6,7,6,19,1
1,2.52,67,12,10,2,24,0
3,1.9,62,11,4,10,25,0
3,3.14,94,10,4,5,19,1
3,3.93,73,13,13,4,30,0
3,2.91,72,15,6,10,31,0
4,3.29,61,14,8,5,27,0
1,1.67,98,4,15,2,21,0
4,2.54,79,2,6,8,16,1
4,1.79,80,3,12,8,23,0
3,3.03,77,15,9,6,30,0
2,3.85,71,7,6,3,16,1
2,3.15,93,6,8,4,18,1
4,1.69,77,2,7,1,10,1
4,2.39,62,2,15,9,26,0
3,2.88,74,12,11,10,33,0
4,2.51,93,5,14,5,24,0
3,3.58,95,13,3,8,24,0
2,3.54,56,5,4,3,12,1
2,3.03,94,7,12,4,23,0
1,2.43,55,7,12,4,23,0
2,2.14,73,11,5,8,24,0
4,1.76,68,15,6,9,30,0
2,2.39,68,7,10,3,20,0
3,2.53,85,2,7,7,16,1
2,3.19,58,11,2,9,22,0
1,3.15,97,10,4,2,16,0
2,1.68,85,12,8,4,24,0
3,2.49,87,8,9,3,20,0
3,1.95,89,8,8,8,24,0
4,1.89,78,12,6,4,22,0
2,3.57,73,8,11,9,28,0
3,1.6,97,3,9,1,13,1
1,2.55,54,3,10,1,14,1
4,1.92,91,7,8,4,19,0
1,3.7,94,8,12,3,23,0
2,2.89,75,4,10,3,17,0
2,2.08,63,14,2,10,26,0
2,2.76,88,5,15,2,22,0
4,3.33,78,15,10,10,35,0
3,3.9,55,13,4,10,27,0
4,2.05,56,4,7,2,13,1
1,3.72,86,8,9,8,25,0
4,3.84,67,8,4,1,13,1
1,3.79,72,5,5,8,18,1
4,3.09,93,14,8,10,32,0
3,3.07,87,8,13,3,24,0
1,2.51,50,6,8,2,16,1
2,3.38,53,2,5,9,16,1
2,2.83,93,11,10,5,26,0
4,3.19,96,5,14,5,24,0
2,2.57,84,8,4,6,18,1
1,3.33,72,14,13,4,31,0
2,3.56,76,3,9,7,19,0
3,1.87,75,3,9,7,19,1
3,3.58,57,2,14,9,25,0
4,2.85,92,3,5,6,14,1
1,3.61,65,11,8,1,20,0
3,2.58,90,15,5,9,29,0
3,2.45,52,9,14,10,33,0
1,3.79,81,12,13,9,34,0
2,2.13,54,9,2,5,16,1
2,3.61,69,9,2,7,18,0
4,2.71,63,2,15,1,18,1
2,2.79,81,2,2,4,8,1
1,2.27,75,13,3,10,26,0
3,2.93,96,11,7,4,22,0
2,2.31,55,5,13,5,23,0
4,1.6,85,7,11,6,24,0
2,2.18,89,9,12,4,25,0
1,1.52,54,14,6,6,26,0
4,3.95,62,3,12,10,25,0
2,3.91,81,14,3,7,24,0
4,2.49,65,4,9,3,16,1
1,3.32,50,7,10,9,26,0
3,2.36,62,11,8,8,27,0
1,3.18,60,5,13,1,19,1
1,3.51,57,13,15,2,30,0
1,3.87,74,3,13,2,18,0
1,2.5,89,8,10,10,28,0
3,3.46,81,5,5,9,19,1
3,2.16,73,9,14,9,32,0
4,3.98,77,9,8,9,26,0
2,1.56,63,8,6,1,15,1
3,3.01,94,11,6,7,24,0
3,3.15,52,10,4,3,17,1
2,3.22,85,5,10,9,24,0
3,1.8,76,8,14,8,30,0
1,3.85,69,11,11,3,25,0
1,1.95,96,11,6,1,18,1
2,3.06,64,13,7,9,29,0
4,2.06,76,2,4,10,16,1
4,2.27,94,5,11,1,17,0
2,2.87,90,3,8,3,14,1
2,2.54,77,10,10,6,26,0
1,1.9,74,6,10,6,22,0
4,1.93,91,4,15,10,29,0
3,2.55,93,5,14,4,23,0
1,3.39,95,7,11,2,20,0
2,3.74,82,11,15,10,36,0
4,1.71,95,2,11,6,19,0
3,2.48,63,8,6,10,24,0
3,1.75,57,9,8,5,22,0
1,1.54,97,8,14,6,28,0
4,3.15,63,8,13,7,28,0
4,3.01,50,10,13,9,32,0
2,1.91,65,14,14,7,35,0
4,2.08,67,5,4,4,13,1
4,1.56,56,15,7,10,32,0
1,3.59,64,8,13,5,26,0
4,3.94,73,10,9,6,25,0
3,1.84,98,6,14,9,29,0
1,2.08,62,3,9,5,17,1
1,3.67,58,6,3,5,14,1
2,3.82,64,5,7,7,19,0
4,2.55,84,9,8,2,19,0
2,1.63,73,6,13,3,22,0
3,1.6,82,10,8,2,20,0
1,2.93,65,10,4,10,24,0
1,2.48,57,4,15,10,29,0
1,1.57,78,14,15,2,31,0
3,2.96,72,11,10,3,24,0
3,1.53,94,7,3,6,16,1
2,3.47,80,7,12,5,24,0
2,2.27,89,5,4,5,14,1
2,1.6,98,12,12,2,26,0
4,2.97,63,14,3,2,19,1
1,2.49,79,11,12,1,24,0
1,3.93,88,4,10,3,17,1
2,2.86,76,2,5,7,14,1
1,2.19,96,13,3,5,21,0
2,3.27,65,8,4,7,19,0
4,2.18,55,6,14,9,29,0
4,3.76,82,15,5,6,26,0
3,2.44,93,11,15,2,28,0
4,2.87,67,8,11,1,20,0
2,1.63,65,2,14,1,17,1
4,2.57,61,9,7,10,26,0
3,3.58,69,4,6,9,19,0
1,3.51,94,8,4,6,18,0
2,2.06,89,13,11,6,30,0
1,2.07,78,4,9,4,17,1
3,3.54,79,15,9,2,26,0
3,3.83,75,4,8,10,22,0
3,1.74,71,11,4,3,18,0
1,2.63,82,10,15,3,28,0
1,2.34,88,14,2,8,24,0
1,3.68,96,3,6,6,15,1
1,1.71,78,15,2,7,24,0
3,2.03,71,5,7,9,21,0
3,3.38,94,7,12,1,20,0
2,1.63,62,15,8,2,25,0
2,2.73,58,4,13,9,26,0
1,2.61,73,13,6,5,24,0
4,2.34,64,11,5,4,20,0
4,2.49,85,15,3,1,19,1
3,2.82,62,11,6,9,26,0
3,1.9,76,8,10,9,27,0
3,2.93,93,8,5,4,17,1
2,3.51,86,6,15,9,30,0
2,3.4,56,4,3,10,17,0
3,1.88,57,3,14,1,18,0
3,1.87,86,5,7,5,17,0
3,2.17,90,15,9,1,25,0
4,2.4,63,14,3,4,21,0
2,2.52,61,5,10,5,20,0
4,3.2,85,12,8,3,23,0
4,1.64,89,9,15,2,26,0
3,1.59,66,9,14,6,29,0
3,2.48,89,14,3,3,20,0
1,3.24,78,6,12,10,28,0
1,1.98,76,14,6,1,21,0
4,3.1,50,7,6,5,18,1
2,2.15,83,9,8,2,19,1
3,3.72,53,2,14,2,18,1
3,3.74,73,6,6,4,16,1
4,2.24,70,5,12,4,21,0
1,2.07,82,5,15,4,24,0
2,2.53,56,12,7,7,26,0
1,2.1,50,3,15,1,19,0
1,3.18,90,11,10,8,29,0
1,3.57,52,2,4,10,16,1
1,3.18,93,15,4,9,28,0
3,3.56,64,7,9,10,26,0
3,2.49,80,8,11,6,25,0
1,1.89,65,6,13,4,23,0
2,3.34,59,9,7,6,22,0
4,2.4,78,10,13,10,33,0
2,3.18,55,12,11,7,30,0
2,2.18,78,12,4,6,22,0
2,1.7,66,3,3,1,7,1
1,3.98,71,12,14,5,31,0
3,1.89,73,14,3,8,25,0
2,3.97,66,5,3,8,16,1
1,3.94,70,12,6,10,28,0
2,3.48,99,10,13,9,32,0
2,3.15,60,6,6,4,16,1
1,2.94,56,4,2,10,16,1
3,3.67,91,7,3,6,16,0
3,2.22,88,4,3,7,14,1
4,2.67,54,15,5,5,25,0
